name,base_element,sheet_name,label,structure,pure_label,material type,ductile_or_brittle,Grady_ductile_median,Grady_ductile_lower,Grady_ductile_higher,Grady_brittle_lower,Grady_brittle_higher,Grady_brittle_ave,GPR_production,GPR_error,test or train,spall_min,spall_max,spall_median,spall_mean,,spall data type,spall_stdev,uts_min,uts_max,uts_median,uts_mean,uts_calc,yield_min,yield_max,yield_median,yield_mean,yield_calc,comp_min,comp_max,comp_median,comp_mean,comp_calc,bulk_min,bulk_max,bulk_median,bulk_mean,bulk_calc,shear_min,shear_max,shear_median,shear_mean,shear_calc,young_min,young_max,young_median,young_mean,young_calc,dens_min,dens_max,dens_median,dens_mean,dens_calc,hard_min,hard_max,hard_median,hard_mean,hard_calc,frac_min,frac_max,frac_median,frac_mean,frac_calc
Beryllium Bronze,Cu,CuBe,Beryllium Bronze,,,alloy,ductile,2.86,2.36,3.28,N/A,N/A,N/A,2.0340667,0.985103,train,2.39,2.57,2.48,2.48,varies by impact condition,alloy - varies by impact condition,0.13,410,590,500,500,no,130,250,190,190,no,65.74,65.74,65.74,65.74,yes,143.05,143.05,143.05,143.05,yes,45.21,45.21,45.21,45.21,yes,122.71,131,126.85,126.85,yes,8.36,8.4,8.38,8.38,no,52.17,52.17,52.17,52.17,yes,68.95,68.95,68.95,69,yes
Brass 60-40,Cu,Brass,Brass,,,alloy,ductile,3.49,3.49,3.49,N/A,N/A,N/A,2.3174129,1.258391,train,1.4,1.4,1.4,1.4,single point,alloy - single point,0,510,510,510,510,no,379,379,379,379,no,180.8,180.8,180.8,180.8,yes,107.29,107.29,107.29,107.29,yes,38.6,38.6,38.6,38.6,no,103,103,103,103,no,8.44,8.44,8.44,8.44,no,42,42,42,42,yes,48.52,48.52,48.52,49,yes
Iron,Fe,Fe,Fe,bcc,Fe - bcc,metal,ductile,2.75,1.58,3.07,N/A,N/A,N/A,1.5783901,0.976152,test,1.4,1.99,1.84,1.78,varies by source,metal - varies by source,0.21,230,540,345,364.6,no,50,189,151.5,135.5,no,110,220,165,165,no,160,178,166.63,167.82,no,77.5,84,80.89,80.32,no,200,275.11,211,220.42,no,7.84,7.88,7.87,7.86,no,150,150,150,150,no,120,170,145,145,no
FeCrNiMn,HEA,FeCrNiMn,FeCrNiMn,,,alloy,ductile,2.85,2.72,2.98,N/A,N/A,N/A,1.7475103,1.061047,train,1.28,1.9,1.52,1.56,varies by impact condition,alloy - varies by impact condition,0.26,512.75,512.75,512.75,512.75,yes,207.75,250,228.88,228.88,no,195.63,195.63,195.63,195.63,yes,118.3,118.3,118.3,118.3,yes,82.85,82.85,82.85,82.85,yes,201.5,201.5,201.5,201.5,yes,7.68,7.78,7.72,7.73,no,201.26,201.26,201.26,201.26,yes,135,135,135,135,yes
Fe40Mn20Cr20Ni20,Fe,Fe40Mn20Cr20Ni20,$\mathrm{Fe_{40}Mn_{20}Cr_{20}Ni_{20}}$,,,alloy,ductile,3.5,3.5,3.5,N/A,N/A,N/A,2.0116676,1.000951,train,2.06,2.32,2.28,2.24,varies by impact condition,alloy - varies by impact condition,0.11,694,694,694,694,no,306,306,306,306,no,189.5,189.5,189.5,189.5,yes,133.14,133.14,133.14,133.14,yes,77.49,77.49,77.49,77.49,yes,194.71,194.71,194.71,194.71,yes,7.9,7.9,7.9,7.9,no,150,150,150,150,no,137,137,137,137,yes
Fe50Mn30Co10Cr10,Fe,Fe50Mn30Co10Cr10,$\mathrm{Fe_{50}Mn_{30}Co_{10}Cr_{10}}$,,,alloy,ductile,4.21,4.21,4.21,N/A,N/A,N/A,3.0393792,1.267683,train,1.89,2.32,2.1,2.1,varies by impact condition,alloy - varies by impact condition,0.2,763,763,763,763,no,410,410,410,410,no,253.95,253.95,253.95,253.95,yes,143.87,143.87,143.87,143.87,yes,79.78,79.78,79.78,79.78,yes,202,202,202,202,no,6.37,6.93,6.65,6.65,no,259.3,259.3,259.3,259.3,yes,217,217,217,217,no
1018 CRS ,Fe,1018CRS,AISI 1018,,,alloy,ductile,3.97,3.67,4.25,N/A,N/A,N/A,1.7332602,1.273422,train,1.71,1.76,1.71,1.72,varies by impact condition,alloy - varies by impact condition,0.03,440,475,457.5,457.5,no,275,370,322.5,322.5,no,538,538,538,538,yes,163.09,163.09,163.09,163.09,no,82.18,82.18,82.18,82.18,no,272.66,272.66,272.66,272.66,no,7.78,7.78,7.78,7.78,no,131,131,131,131,no,43,43,43,43,no
Steel 1020,Fe,St1020,AISI 1020,,,alloy,ductile,3.56,3.26,3.83,N/A,N/A,N/A,2.5710377,0.841526,test,1.58,3.5,2.05,2.08,varies by source,alloy - varies by source,0.41,450,450,450,450,no,240,330,285,285,no,220.64,220.64,220.64,220.64,no,148,148,148,148,no,72,72,72,72,no,186,186,186,186,no,7.85,7.87,7.86,7.86,no,149,149,149,149,no,93.72,96.32,94.78,95,no
Steel 1045,Fe,St1045,AISI 1045,,,alloy,ductile,5.02,5.02,5.02,N/A,N/A,N/A,3.604513,1.222893,train,3.98,4.21,4.07,4.08,varies by impact condition,alloy - varies by impact condition,0.1,565,625,595,595,no,530,530,530,530,no,415,415,415,415,no,154,163,158.5,158.5,no,77.52,80,78.76,78.76,no,199.61,206,200,201.87,no,7.85,7.88,7.87,7.87,no,188,188,188,188,no,50,50,50,50,no
Steel 4340 Rc52,Fe,St4340,AISI 4340,,,alloy,ductile,6.73,6.73,6.73,N/A,N/A,N/A,4.8758673,1.712845,train,5.3,5.3,5.3,5.3,single point,alloy - single point,0,1958.18,1958.18,1958.18,1958.18,no,950,950,950,950,no,642,642,642,642,no,159,159,159,159,no,77,77,77,77,no,210,210,210,210,no,7.83,7.83,7.83,7.83,no,360,360,360,360,no,50.33,50.33,50.33,50,no
A36,Fe,StA36,ASTM A36,,,alloy,ductile,3.49,3.49,3.49,N/A,N/A,N/A,1.6589922,0.906425,train,1.64,2,1.96,1.87,varies by impact condition,alloy - varies by impact condition,0.2,400,550,475,475,no,250,250,250,250,no,152,152,152,152,no,160,165.32,162.66,162.66,no,83.21,83.21,83.21,83.21,no,200,276.27,238.14,238.14,no,7.83,7.85,7.84,7.84,no,131,131,131,131,no,147,147,147,147,no
AF9628 Steel,Fe,AF9628,AF-9628,,,alloy,ductile,8.09,8.09,8.09,N/A,N/A,N/A,5.1627734,1.719765,test,5.5,5.5,5.5,5.5,varies by impact condition,alloy - varies by impact condition,0,1728,1728,1728,1728,no,1320,1320,1320,1320,no,1440,1440,1440,1440,no,165.09,165.09,165.09,165.09,yes,80.41,80.41,80.41,80.41,yes,207.54,207.54,207.54,207.54,yes,7.77,7.77,7.77,7.77,no,490,490,490,490,no,128.61,128.61,128.61,129,yes
24CrNiMo Steel,Fe,StCrNiMo,CrNiMo steel,,,alloy,ductile,6.79,6.79,6.84,N/A,N/A,N/A,3.9512041,1.538305,train,3.88,4.28,4.09,4.09,varies by impact condition,alloy - varies by impact condition,0.14,1134,1159,1146,1146.33,no,951,967,952,956.67,no,1480,1480,1480,1480,no,161.48,161.48,161.48,161.48,yes,82.76,82.76,82.76,82.76,yes,212.04,212.04,212.04,212.04,yes,7.83,7.83,7.83,7.83,no,376,376,376,376,no,68.2,68.2,68.2,68,no
